block_id,titre,chapitre,section_or_article_header,text_content
## Bloc 6,,CHAPITRE PREMIER,,DISPOSITIONS GENERALES
## Bloc 6,,CHAPITRE PREMIER,Art. 11.1,"Les employeurs peuvent embaucher directement leurs travailleurs. Ils
peuvent aussi recourir aux services de l'organisme public de placement et
aux bureaux ou offices privés de placement.

Toute vacance de poste de travail doit faire l'objet de déclaration auprès
de l'organisme public de placement, de publications dans un quotidien
national à grand tirage et éventuellement dans tout autre moyen de
communication.

Si au terme d'une période, d'un mois à compter de la première
publication, aucun national n'a satisfait au profil requis, l'employeur est
autorisé à recruter tout autre candidat.

Les entreprises sont tenues de déclarer leurs embauches et licenciement,
à l'organisme public de placement."
## Bloc 6,,CHAPITRE PREMIER,Art. 11.2,"L'ouverture de bureaux ou d'offices privés de placement ayant pour objet
exclusif ou principal d'agir comme intermédiaires entre employeurs et
travailleurs est autorisée dans des conditions déterminées par décret."
## Bloc 6,,CHAPITRE PREMIER,Art. 11.3,"Les entreprises peuvent faire appel à du personnel extérieur dans le cadre du
travail temporaire et du prêt de main-d'œuvre. Elles peuvent recourir aux
services d'un tâcheron.

Art 11.4

Est entrepreneur de travail temporaire une personne physique ou morale
dont l'activité exclusive est de mettre à la disposition provisoire d'utilisateurs,
personnes physiques ou morales, des salariés qu'elle embauche et rémunère
à cet effet en fonction d'une qualification convenue.

Il ne peut être fait appel à des travailleurs temporaires pour remplacer
des travailleurs grévistes.

Des décrets déterminent les conditions d'exercice de la profession
d'entrepreneur de travail temporaire et les travaux particulièrement
dangereux pour lesquels le recours au travail temporaire est interdit."
## Bloc 6,,CHAPITRE PREMIER,Art. 11.5,"Le prêt de main-d'œuvre à but non lucratif est autorisé.

Le prêt de main-d'œuvre à but lucratif ne peut être réalisé que dans le
cadre du travail temporaire.

Tout prêt de main-d'œuvre à but lucratif qui n'est pas réalisé dans le
cadre du travail temporaire est nul. Le travailleur peut faire valoir l'existence
d'un contrat de travail le liant à l'utilisateur, sans que cette faculté emporte
renonciation aux droits que le travailleur peut avoir à l'encontre du prêteur
de main-d'œuvre."
## Bloc 6,,CHAPITRE PREMIER,Art. 11.6,"Le tâcheron est un sous-entrepreneur qui, sans être propriétaire d'un fonds
commercial, artisanal ou agricole, et engageant lui-même la main-d'œuvre
nécessaire, passe avec un entrepreneur un contrat écrit ou verbal pour
l'exécution d'un travail ou la fourniture de certains services moyennant un
prix forfaitaire.

Les salariés recrutés par le tâcheron pour l'exécution du contrat de
tâcheronnat doivent travailler sous la direction et le contrôle effectifs de
celui-ci."
## Bloc 6,,CHAPITRE PREMIER,Art. 11.7,"Quand les travaux sont exécutés dans les ateliers, magasins ou chantiers de
l'entrepreneur, ce dernier est, en cas d'insolvabilité du tâcheron, substitué à
celui-ci en ce qui concerne le paiement des salaires dus aux travailleurs.

Dans ce cas, les travailleurs lésés ont une action directe contre,
l'entrepreneur."
## Bloc 6,,CHAPITRE PREMIER,Art. 11.8,"S'il survient un changement d'employeur, personne physique ou personne
morale, par suite notamment de succession, vente, fusion, transformation du
fonds, mise en société, tous les contrats de travail en cours au jour de la
modification subsistent entre le nouvel employeur et le personnel de
l'entreprise.

L'interruption temporaire de l'activité de l'entreprise ne fait pas, par
elle-même, obstacle à l'application des dispositions précédentes."
## Bloc 6,,CHAPITRE PREMIER,Art. 11.9,"Le nouvel employeur garde néanmoins le droit de procéder à des ruptures de
contrat de travail dans les conditions prévues au présent Code.

Les salariés dont les contrats ne sont pas rompus ne peuvent prétendre à
aucune indemnité du fait du changement d'employeur."
## Bloc 6,,CHAPITRE PREMIER,Art. 11.10,"Des décrets d'application déterminent, en tant que de besoin, les modalités
d'application du présent chapitre.


---"
## Bloc 7,,CHAPITRE 2,,TRAVAIL DES PERSONNES EN SITUATION DE HANDICAP
## Bloc 7,,CHAPITRE 2,Art. 12.1,"Est considérée comme personne en situation de handicap toute personne
physique dont l'intégrité physique ou mentale est passagèrement ou
définitivement diminuée soit congénitalement, soit sous l'effet d'une maladie
ou d'un accident, en sorte que son autonomie, son aptitude à fréquenter
l'école ou à occuper un emploi, s'en trouvent compromises.

Il s'agit d'une personne présentant l'un ou les deux handicaps suivants :
- handicap physique ;

- handicap intellectuel."
## Bloc 7,,CHAPITRE 2,Art. 12.2,"L'employeur doit réserver un quota d'emplois aux personnes en situation de
handicap possédant la qualification professionnelle requise."
## Bloc 7,,CHAPITRE 2,Art. 12.3,"Un décret détermine les modalités d'application du présent chapitre.


---"
## Bloc 9,,,,"SECTION I

APPRENTISSAGE"
## Bloc 9,,,Art. 13.1,"Le contrat d'apprentissage est celui par lequel un chef d'établissement
industriel, commercial ou agricole, un artisan ou un façonnier s'oblige à
donner ou à faire donner une formation professionnelle méthodique et
complète à une autre personne et par lequel celle-ci s'engage, en retour, à se
conformer aux instructions qu'elle reçoit et à exécuter les ouvrages qui lui
sont confiés en vue de sa formation.

Le contrat doit être constaté par écrit et rédigé en langue française.

Le contrat est exempt de tous droits de timbre et d'enregistrement."
## Bloc 9,,,Art. 13.2,"Le contrat d'apprentissage est établi en tenant compte des usages et
coutumes de la profession.

Un décret détermine les conditions d'exercice des fonctions de maître
d'apprentissage."
## Bloc 9,,,Art. 13.3,"Nul ne peut recevoir des apprentis mineurs s'il n'est âgé de vingt-et-un ans
au moins."
## Bloc 9,,,Art. 13.4,"Aucun maître d'apprentissage, s'il ne vit en famille ou en communauté, ne
peut loger en son domicile personnel ou dans son atelier des apprentis
mineurs."
## Bloc 9,,,Art. 13.5,"Ne peuvent recevoir des apprentis mineurs les individus qui ont été
condamnés soit pour crime, soit pour délit contre les mœurs."
## Bloc 9,,,Art. 13.6,"Le maître d'apprentissage doit prévenir sans retard les parents de l'apprenti
ou leurs représentants en cas de maladie, d'absence ou de tout autre fait de
nature à motiver leur intervention.

Il ne doit employer l'apprenti dans la mesure de ses aptitudes et de ses
forces, qu'aux travaux et services qui se rattachent à l'exercice de sa
profession."
## Bloc 9,,,Art. 13.7,"Le maître d'apprentissage doit traiter l'apprenti en bon père de famille.

Si l'apprenti ne sait pas lire, écrire ou compter, le maître est tenu de lui
accorder le temps et la liberté nécessaires pour son instruction. Ce temps est
donné à l'apprenti selon un accord réalisé entre les parties, mais il ne peut
excéder une durée calculée sur la base de deux heures de travail par jour."
## Bloc 9,,,Art. 13.8,"Le maître d'apprentissage doit enseigner à l'apprenti, progressivement et
complètement, l'art, le métier ou la profession spéciale qui fait l'objet du
contrat.

Il lui délivre, à la fin de l'apprentissage, une attestation constatant
l'exécution du contrat."
## Bloc 9,,,Art. 13.9,"L'apprenti doit à son maître, dans le cadre de l'apprentissage, obéissance et
respect. Il doit l'aider par son travail dans la mesure de ses aptitudes et de ses
forces.

L'apprenti dont le temps d'apprentissage est terminé, passe un examen
devant un organisme agréé par l'Etat. Un certificat d'aptitude professionnel
est délivré à l'apprenti qui a subi l'examen avec succès."
## Bloc 9,,,Art. 13.10,"L'embauche comme ouvrier ou employé de toute personne liée par un
contrat d'apprentissage est passible d'une indemnité au profil du maître
d'apprentissage ou du chef d'établissement abandonné.

Tout nouveau contrat d'apprentissage conclu sans que les obligations du
précédent contrat aient été remplies complètement ou sans qu'il ait été résolu
légalement est nul de plein droit.


---"
## Bloc 10,,,,"SECTION 2
CONTRAT STAGE-ÉCOLE"
## Bloc 10,,,Art. 13.11,"Le contrat stage-école est la convention par laquelle un élève ou un étudiant
s'engage, en vue de la validation de son diplôme ou de sa formation
professionnelle, à recevoir au sein d'une entreprise une formation pratique.

Cette convention doit être constatée par écrit. À défaut, elle est réputée
être un contrat de travail à durée indéterminée.

Toute entreprise a l'obligation de recevoir en stage des élèves ou
étudiants en vue de la validation de leur diplôme."
## Bloc 10,,,Art. 13.12,"Le contrat stage-école n'est pas rémunéré. Toutefois, l'entreprise peut allouer
au stagiaire une indemnité dont elle détermine librement le montant.

Le contrat stage-école prend fin au terme de la période conventionnelle
sans indemnité n1 préavis."
## Bloc 10,,,Art. 13.13,"Les modalités du contrat stage-école sont déterminées par voie réglementaire.


---"
## Bloc 11,,,,"SECTION 3

CONTRAT STAGE DE QUALIFICATION OÙ D'EXPERIENCE
PROFESSIONNELLE"
## Bloc 11,,,Art. 13.14,"Le contrat stage de qualification ou d'expérience professionnelle est la
convention par laquelle l'entreprise s'engage, pour la durée prévue, à donner
au stagiaire une formation pratique lui permettant d'acquérir une
qualification ou une expérience professionnelle.

Toute entreprise a l'obligation de recevoir en stage de qualification ou
d'expérience professionnelle, des demandeurs d'emplois en vue d'acquérir
une qualification ou une première expérience professionnelle.

Le stage de qualification ou d'expérience professionnelle ne peut
excéder une durée de douze mois, renouvellements compris."
## Bloc 11,,,Art. 13.15,"Le contrat stage de qualification ou d'expérience professionnelle doit être
constaté par écrit. À défaut, il est réputé être un contrat de travail à durée
indéterminée."
## Bloc 11,,,Art. 13.16,"Le bénéficiaire du stage de qualification ou d'expérience professionnelle est
soumis au règlement intérieur de l'entreprise."
## Bloc 11,,,Art. 13,"Le bénéficiaire du stage de qualification ou d'expérience professionnelle
n'est pas un salarié. Toutefois, l'entreprise est tenue de lui verser une
indemnité forfaitaire."
## Bloc 11,,,Art. 13.18,"Tout bénéficiaire d'un contrat stage de qualification ou d'expérience
professionnelle reconnu apte à tenir un emploi en rapport avec sa
qualification est, pendant une période de six mois, prioritaire en cas
d'embauche audit emploi."
## Bloc 11,,,Art. 13.19,"Au terme du stage, il est délivré au stagiaire une attestation indiquant la
qualification, l'objet du Stage et sa durée."
## Bloc 11,,,Art. 13.20,"Les modalités pratiques de mise en œuvre du contrat stage de qualification
ou d'expérience professionnelle sont déterminées par voie réglementaire.

---"
## Bloc 12,,,,"SECTION 4
CHANTIER-ECOLE"
## Bloc 12,,,Art. 13.21,"Est appelé chantier-école toute action collective qui, à partir d'une situation
de mise au travail sur une production grandeur nature, a pour objectif la
professionnalisation et la qualification dans un métier d'une personne ou d'un
groupe de personnes."
## Bloc 12,,,Art. 13.22,"Les modalités d'organisation et de fonctionnement du chantier-école ainsi
que le statut des personnes liées à l'entreprise exécutant le chantier sont
déterminés par voie réglementaire.


---"
## Bloc 13,,,,"SECTION 5

FORMATION PROFESSIONNELLE CONTINUE"
## Bloc 13,,,Art. 13.23,"Le travailleur est en droit de bénéficier de la formation professionnelle
continue et du perfectionnement professionnel que nécessite l'exercice de
son emploi, dans un but de promotion sociale et d'adaptation à l'évolution
économique et technologique.

Les conditions de la formation professionnelle continue sont
déterminées par voie réglementaire."
## Bloc 13,,,Art. 13.24,"L'employeur est en droit d'exiger du personnel en fonction qu'il suive les
cours de formation et de perfectionnement professionnels que nécessitent
l'exercice de son emploi et l'adaptation à l'évolution économique et
technologique.

Le coût de cette formation, qu'elle soit assurée par un organisme
spécialisé ou par l'employeur ; est à la charge de ce dernier.

Pendant les périodes de formation et de perfectionnement
professionnels, le travailleur perçoit son salaire intégral et les indemnités qui
s'y rattachent.

Les différends relatifs à la promotion professionnelle sont soumis à la
commission de classement.

Si le cours de formation ou de perfectionnement comporte un examen,
l'échec du travailleur à cet examen ne peut être la cause d'un licenciement ;
le travailleur est réintégré dans son emploi précédant et bénéficie de tous les
avantages qui s'y rattachent."
## Bloc 13,,,Art. 13.25,"L'employeur peut soumettre le travailleur à un stage de formation
professionnelle.

S1 le stage est concluant, le travailleur bénéficie des avantages rattachés
à l'emploi pour lequel le stage a été effectué.

Si le travailleur quitte un établissement où il a déjà effectué un stage de
formation professionnelle, il ne peut être astreint à un nouveau stage lorsqu'il
est engagé dans un autre établissement, relevant du même secteur d'activité,
en vue d'assumer les mêmes fonctions.

L'intéressé sera confirmé dans son nouvel emploi dès qu'il aura
accompli la période d'essai.


---"
## Bloc 14,,,,"SECTION 6
CONGE DE FORMATION"
## Bloc 14,,,Art. 13.26,"Le congé de formation est une période de suspension du contrat de travail
qui a pour objet de permettre à tout travailleur, au cours de sa vie
professionnelle, de suivre à son initiative, et à titre individuel, des actions de
formation, indépendamment de sa participation aux stages compris dans le
plan de formation de l'entreprise dans laquelle il exerce son activité.

Le congé prévu au premier alinéa du présent article peut être également
accordé à un salarié pour préparer et pour passer un examen pour l'obtention
d'un titre ou d'un diplôme."
## Bloc 14,,,Art. 13.27,"Pour bénéficier du congé de formation, le travailleur doit justifier d'une
ancienneté d'au moins trente-six mois, dans l'entreprise ou d'un retour de
congé de formation depuis au moins trente-six mois.

Le travailleur adresse sa demande écrite de congé de formation à
l'employeur, accompagnée de pièces justificatives, au moins deux mois
avant le début de la formation.

Sauf accord de l'employeur, aucun travailleur ne peut solliciter son
droit à congé de formation plus de deux fois par période de dix ans continue
dans l'entreprise."
## Bloc 14,,,Art. 13.28,"Dans une même entreprise, lorsque plusieurs travailleurs remplissant les
conditions prévues à l'article précédent demandent un congé de formation,
l'employeur peut différer la satisfaction de certaines demandes."
## Bloc 14,,,Art. 13.29,"Le congé de formation correspond à la durée de la formation, sans pouvoir
excéder un an s'il s'agit d'une formation continue à temps plein ou 1200
heures s'il s'agir de formations constituant un cycle pédagogique comportant
des enseignements discontinus ou à temps partiel.

Les dispositions de l'alinéa précédent du présent article ne font pas
obstacle à la conclusion d'accords stipulants des durées plus longues pour les
congés de formation."
## Bloc 14,,,Art. 13.30,"Le bénéfice du congé de formation demandé est de droit, sauf dans le cas où
‘employeur estime que cette absence peut avoir des conséquences
préjudiciables à la production et à la bonne marche de l'entreprise. En cas de
différend, l'inspecteur du travail et des lois sociales du ressort peut être saisi
par l'une des parties. En cas de désaccord devant l'inspecteur du travail et des
ois sociales du ressort, la rupture du contrat de travail qui en résulte est un

icenciement légitime, sauf pour le travailleur à rapporter la preuve d'une
intention de nuire susceptible d'ouvrir droit à réparation."
## Bloc 14,,,Art. 13.31,"La formation est prise en charge par le travailleur.


---"
## Bloc 15,,,,"SECTION 7
CONGE DE FORMATION SYNDICALE

Art 13.32

Le congé de formation syndicale est une période au cours de laquelle les
représentants des travailleurs participent à une formation syndicale.

La durée de ce congé, qui ne peut excéder trois semaines dans l'année,
est fixée d'accord parties entre les syndicats des travailleurs et l'employeur. Il
ne vient pas en déduction de la durée normale du congé payé. Les parties
contractantes s'emploieront à ce que ces absences n'apportent pas de gêne à
la marche normale du travail.

Le temps non travaillé est rémunéré par l'employeur comme temps de
travail effectif ; il n'est pas récupérable et est considéré comme temps de
service pour la détermination des droits du travailleur au congé payé.


---"
## Bloc 16,,CHAPITRE 4,,CONCLUSION DU CONTRAT DE TRAVAIL
## Bloc 16,,CHAPITRE 4,Art. 14.1,"Le contrat de travail est un accord de volontés par lequel une personne
physique s'engage à mettre son activité professionnelle sous la direction et
l'autorité d'une autre personne physique ou d'une personne morale,
moyennant rémunération."
## Bloc 16,,CHAPITRE 4,Art. 14.2,"Le contrat de travail est passé librement et, sous réserve des dispositions du
présent Code, constaté dans les formes qu'il convient aux parties
contractantes d'adopter.

Lorsqu'il est écrit, le contrat de travail est exempt de tous droits de
timbre et d'enregistrement."
## Bloc 16,,CHAPITRE 4,Art. 14.3,"Le contrat de travail peut être conclu pour une durée indéterminée ou pour
une durée déterminée, selon les règles définie, au chapitre 5 du présent titre."
## Bloc 16,,CHAPITRE 4,Art. 14.4,L'existence du contrat de travail se prouve par tous moyens.
## Bloc 16,,CHAPITRE 4,Art. 14.5,"Le contrat de travail, qu'il soit à durée déterminée ou à durée indéterminée

2 2
peur comporter une période d'essai dont la durée totale maximale est fixée
par décret.

Lorsque les parties au contrat de travail décident de soumettre leurs
relations à une période d'essai ou de la renouveler, le contrat doit être passé
par écrit ou constaté par une lettre d'embauche mentionnant la durée de la
période d'essai.

Toutefois, les conventions collectives peuvent prévoir que les contrats
de travail de tout ou partie des salariés qu'elles visent, comporteront
obligatoirement une période d'essai et ne pas en subordonner la validité à la
conclusion d'un contrat écrit."
## Bloc 16,,CHAPITRE 4,Art. 14.6,"Les conditions dans lesquelles un employeur peut subordonner la conclusion
d'un contrat de travail ou son maintien à la constitution d'une garantie
financière sont déterminées par décret."
## Bloc 16,,CHAPITRE 4,Art. 14.7,"Lorsqu'un travailleur ayant rompu abusivement son contrat de travail engage
à nouveau ses services, le nouvel employeur est solidairement responsable
du dommage causé à l'employeur précédent dans les trois cas suivants :

1. quand il est démontré qu'il est intervenu dans le débauchage ;
2. quand il a embauché un travailleur qu'il savait lié par un contrat de travail ;

3. quand il a continué à occuper un travailleur après avoir appris que ce
travailleur était encore lié à un employeur par un contrat de travail. Dans ce
troisième cas, la responsabilité du nouvel employeur cesse d'exister si, au
moment où il a été averti, le contrat de travail abusivement rompu par le
travailleur arrive à expiration, soit s'il s'agit de contrat à durée déterminée,
par l'arrivée du terme, soit, s'il s'agit de contrat à durée indéterminée, par
l'expiration du préavis ou si un délai de quinze jours s'était écoulé depuis la
rupture dudit contrat.

---"
## Bloc 17,,CHAPITRE 5,,CONTRAT À DURÉE DÉTERMINÉE
## Bloc 17,,CHAPITRE 5,Art. 15.1,"Le contrat de travail à durée déterminée est un contrat qui prend fin à
l'arrivée d'un terme fixé par les parties au moment de sa conclusion.
L'effectif des travailleurs sous contrat à durée déterminée occupant un
emploi permanent ne doit pas dépasser le tiers de l'effectif total de
l'entreprise."
## Bloc 17,,CHAPITRE 5,Art. 15.2,"À l'exception des contrats visés à l'article 15.7 du présent Code, le contrat de
travail à durée déterminée doit être passé par écrit ou constaté par une lettre
d'embauche."
## Bloc 17,,CHAPITRE 5,Art. 15.3,"Le contrat de travail conclu pour une durée déterminée doit comporter un
terme précis fixé dès sa conclusion ; il doit donc indiquer soit la date de son
achèvement, soit la durée précise pour laquelle il est conclu."
## Bloc 17,,CHAPITRE 5,Art. 15.4,"Les contrats à terme précis ne peuvent être conclus pour une durée
supérieure à deux ans.

Les contrats à terme précis peuvent être renouvelés sans limitation.

Toutefois, ces renouvellements ne peuvent avoir pour effet d'entraîner
un dépassement de la durée maximale de deux ans."
## Bloc 17,,CHAPITRE 5,Art. 15.5,"Dans une entreprise où il a été réalisé un licenciement pour motif
économique, l'employeur ne peut pourvoir les postes concernés au moyen de
contrat à durée déterminée, sauf si la durée de ces contrats, non susceptibles
de renouvellement, n'excède pas trois mois."
## Bloc 17,,CHAPITRE 5,Art. 15.6,"Le contrat à durée déterminée à terme imprécis, quel que soit son motif, ne
peut avoir pour objet ni pour effet de pourvoir durablement un emploi lié à
l'activité normale et permanente de l'entreprise.

Il ne peut être conclu que pour l'exécution d'une tâche précise et
temporaire et seulement dans les cas ci-après :

- remplacement d'un travailleur en cas d'absence, de suspension de son
contrat de travail ou d'attente de l'entrée en service d'un travailleur recruté
par contrat à durée indéterminée ;

- surcroît occasionnel de travail ou activité inhabituelle de l'entreprise ;
- emplois à caractère saisonnier ;

- emplois dans certains secteurs d'activité définis par décret ou par voie
conventionnelle et pour lesquels il est d'usage constant de ne pas recourir au
contrat à durée indéterminée ;

- durée d'un chantier ou d'un projet.

Le terme est alors constitué par le retour du salarié remplacé ou la
rupture de son contrat de travail, la fin de la saison, du chantier ou du projet
ou la fin du surcroît occasionnel de travail ou de l'activité inhabituelle de
l'entreprise.


Au moment de l'engagement, l'employeur doit communiquer au
travailleur les éléments éventuellement susceptibles d'éclairer ce dernier sur
la durée approximative du contrat."
## Bloc 17,,CHAPITRE 5,Art. 15.7,"Sont assimilés aux contrats à durée déterminée à terme imprécis les contrats
des travailleurs journaliers engagés à l'heure ou à la journée pour une
occupation de courte durée et payés à la fin de la journée, de la semaine ou
de la quinzaine."
## Bloc 17,,CHAPITRE 5,Art. 15.8,"Lorsqu'un contrat à durée déterminée prend fin sans que ne soit conclu un
contrat à durée indéterminée entre les parties, le travailleur a droit à une
indemnité de fin de contrat comme complément de salaire.

Le taux applicable pour la détermination de l'indemnité de fin de
contrat est de 3 %. Il s'applique sur la somme des salaires bruts perçus par le
travailleur pendant la durée de son contrat de travail.

L'indemnité dont le taux est assis sur la rémunération totale brute due
au travailleur pendant la durée du contrat, est payée à celui-ci lors du
règlement du dernier salaire.

L'indemnité de fin de contrat n'est pas due :

- lorsque le salarié refuse la conclusion d'un contrat à durée indéterminée
pour le même emploi ou pour un emploi similaire comportant une
rémunération au moins équivalente ;

- Lorsqu'une rupture anticipée du contrat est le fait du salarié ou lorsqu'elle
est consécutive à une faute lourde du travailleur."
## Bloc 17,,CHAPITRE 5,Art. 15.9,"Le contrat de travail à durée déterminée ne peut être rompu avant terme que
pour force majeure, accord commun ou faute lourde de l'une des parties. Il
peut également être rompu avant terme, pendant la période d'essai.

Toute rupture prononcée en violation des règles ci-dessus donne lieu,
au profit de la partie lésée, à dommages et intérêts correspondant aux
salaires et avantages de toute nature dont le salarié aurait bénéficié pendant
la période restant à courir jusqu'au terme de son contrat.

Le contrat à durée déterminée à terme imprécis conclu pour le
remplacement d'un travailleur temporairement absent peut être rompu par
décision unilatérale du salarié dès lors qu'il a été exécuté pendant six mois
au moins."
## Bloc 17,,CHAPITRE 5,Art. 15.10,"Les contrats de travail à durée déterminée qui ne satisfont pas aux exigences
posées par le présent chapitre sont réputés être à durée indéterminée.


---"
## Bloc 19,,,,"SECTION 1

EXECUTION DU CONTRAT DE TRAVAIL"
## Bloc 19,,,Art. 16.1,"Le règlement intérieur est établi par le chef d'entreprise sous réserve de la
communication dont il est fait mention au troisième alinéa du présent article.
Son contenu est limité exclusivement aux règles relatives à l'organisation
technique du travail, à la discipline et aux prescriptions concernant l'hygiène
et la sécurité nécessaires à la bonne marche de l'entreprise.

Toutes autres clauses y figurant, notamment celles relatives à la
rémunération sont considérées comme nulles de plein droit, sous réserve des
dispositions de l'article 32.4 du présent Code.

Le règlement intérieur est soumis, pour avis, aux délégués du personnel
et lorsqu'il en existe, aux syndicats de base. Il est communiqué à l'inspecteur
du travail et des lois sociales, qui peut exiger le retrait ou la modification des
dispositions contraires aux lois et règlements en vigueur.

Si l'entreprise ne possède pas de délégués du personnel n1 de syndicat
de base, l'employeur soumet son projet de règlement intérieur aux
travailleurs délégués par leurs pairs. Le nombre de travailleurs, à désigner
doit être égal à celui des délégués titulaires qu'aurait componé l'entreprise ou
l'établissement. Cette désignation ne fait pas d'eux des délégués du personnel.

Les modalités de communication, de dépôt et d'affichage du règlement
intérieur ainsi que le nombre de travailleurs de l'entreprise au-dessus duquel
l'existence de ce règlement est obligatoire sont fixés par décret."
